代码,展示代码,名称,行业,市场,市值,中证全指权重,最新成交额,纳入日期
sz002273,002273.SZ,水晶光电,电子,深交所,85167697203.5,0.079,2649262918.0,2026-05-09
sh600096,600096.SH,云天化,基础化工,上交所,85167697203.5,0.079,1486864522.0,2026-05-09
sz300395,300395.SZ,菲利华,国防军工,深交所,84089625087.0,0.078,5334967148.0,2026-05-09
sh601998,601998.SH,中信银行,银行,上交所,83011552970.5,0.077,399977049.0,2026-05-09
sh601916,601916.SH,浙商银行,银行,上交所,83011552970.5,0.077,269016811.0,2026-05-09
sz002261,002261.SZ,拓维信息,计算机,深交所,83011552970.5,0.077,5165741181.0,2026-05-09
sh600048,600048.SH,保利发展,房地产,上交所,81933480854.0,0.076,868601267.0,2026-05-09
sh688110,688110.SH,东芯股份,电子,上交所,81933480854.0,0.076,3539597723.0,2026-05-09
sz002240,002240.SZ,盛新锂能,有色金属,深交所,81933480854.0,0.076,3961980673.0,2026-05-09
sz002558,002558.SZ,巨人网络,传媒,深交所,81933480854.0,0.076,2860978950.0,2026-05-09
sh600015,600015.SH,华夏银行,银行,上交所,80855408737.5,0.075,497201637.0,2026-05-09
sz002131,002131.SZ,利欧股份,机械设备,深交所,80855408737.5,0.075,3406031167.0,2026-05-09
sh600482,600482.SH,中国动力,电力设备,上交所,80855408737.5,0.075,1094103898.0,2026-05-09
sh688048,688048.SH,长光华芯,电子,上交所,80855408737.5,0.075,7515565742.0,2026-05-09
sz000975,000975.SZ,山金国际,有色金属,深交所,80855408737.5,0.075,1549395548.0,2026-05-09
sz301358,301358.SZ,湖南裕能,电力设备,深交所,79777336621.0,0.074,5252973428.0,2026-05-09
sh601179,601179.SH,中国西电,电力设备,上交所,79777336621.0,0.074,3647714095.0,2026-05-09
sh600436,600436.SH,片仔癀,医药生物,上交所,79777336621.0,0.074,416236195.0,2026-05-09
sh601869,601869.SH,长飞光纤,通信,上交所,79777336621.0,0.074,7575673697.0,2026-05-09
sz300418,300418.SZ,昆仑万维,传媒,深交所,79777336621.0,0.074,3852742311.0,2026-05-09
sz002407,002407.SZ,多氟多,基础化工,深交所,79777336621.0,0.074,6518425852.0,2026-05-09
sh600795,600795.SH,国电电力,公用事业,上交所,78699264504.5,0.073,953992532.0,2026-05-09
sh688313,688313.SH,仕佳光子,通信,上交所,78699264504.5,0.073,6004544130.0,2026-05-09
sz000166,000166.SZ,申万宏源,非银金融,深交所,78699264504.5,0.073,327469152.0,2026-05-09
sh605499,605499.SH,东鹏饮料,食品饮料,上交所,78699264504.5,0.073,592606942.0,2026-05-09
sz300223,300223.SZ,北京君正,电子,深交所,77621192388.0,0.072,3610911987.0,2026-05-09
sh603296,603296.SH,华勤技术,电子,上交所,77621192388.0,0.072,3020784340.0,2026-05-09
sz002493,002493.SZ,荣盛石化,石油石化,深交所,77621192388.0,0.072,593006701.0,2026-05-09
sh601377,601377.SH,兴业证券,非银金融,上交所,77621192388.0,0.072,430686272.0,2026-05-09
sh600580,600580.SH,卧龙电驱,电力设备,上交所,76543120271.5,0.071,4140230491.0,2026-05-09
sz002311,002311.SZ,海大集团,农林牧渔,深交所,76543120271.5,0.071,582291393.0,2026-05-09
sh688361,688361.SH,中科飞测,电子,上交所,76543120271.5,0.071,1034713209.0,2026-05-09
sz300207,300207.SZ,欣旺达,电力设备,深交所,75465048155.0,0.07,1981242762.0,2026-05-09
sh600570,600570.SH,恒生电子,计算机,上交所,75465048155.0,0.07,933375772.0,2026-05-09
sh600188,600188.SH,兖矿能源,煤炭,上交所,75465048155.0,0.07,1000297286.0,2026-05-09
sz300751,300751.SZ,迈为股份,电力设备,深交所,74386976038.5,0.069,3295319495.0,2026-05-09
sz000703,000703.SZ,恒逸石化,石油石化,深交所,74386976038.5,0.069,1850808526.0,2026-05-09
sz000831,000831.SZ,中国稀土,有色金属,深交所,74386976038.5,0.069,1765992076.0,2026-05-09
sh601995,601995.SH,中金公司,非银金融,上交所,74386976038.5,0.069,430713810.0,2026-05-09
sh600760,600760.SH,中航沈飞,国防军工,上交所,74386976038.5,0.069,1980170483.0,2026-05-09
sz000157,000157.SZ,中联重科,机械设备,深交所,73308903922.0,0.068,1105788730.0,2026-05-09
sz002074,002074.SZ,国轩高科,电力设备,深交所,73308903922.0,0.068,1920633630.0,2026-05-09
sh688702,688702.SH,盛科通信,电子,上交所,73308903922.0,0.068,2646143448.0,2026-05-09
sh688126,688126.SH,沪硅产业,电子,上交所,73308903922.0,0.068,2576751280.0,2026-05-09
sz300661,300661.SZ,圣邦股份,电子,深交所,73308903922.0,0.068,1898278754.0,2026-05-09
sh601868,601868.SH,中国能建,建筑装饰,上交所,73308903922.0,0.068,7487027986.0,2026-05-09
sz300017,300017.SZ,网宿科技,计算机,深交所,73308903922.0,0.068,3910671155.0,2026-05-09
sh603659,603659.SH,璞泰来,电力设备,上交所,72230831805.5,0.067,2964186433.0,2026-05-09
sz002126,002126.SZ,银轮股份,汽车,深交所,72230831805.5,0.067,1036283984.0,2026-05-09
sh601360,601360.SH,三六零,计算机,上交所,72230831805.5,0.067,1843332353.0,2026-05-09
sh600221,600221.SH,海航控股,交通运输,上交所,72230831805.5,0.067,2245094618.0,2026-05-09
sh601077,601077.SH,渝农商行,银行,上交所,71152759689.0,0.066,429809021.0,2026-05-09
sh600885,600885.SH,宏发股份,电力设备,上交所,71152759689.0,0.066,598913624.0,2026-05-09
sz300666,300666.SZ,江丰电子,电子,深交所,71152759689.0,0.066,2982263055.0,2026-05-09
sh603893,603893.SH,瑞芯微,电子,上交所,71152759689.0,0.066,1489742220.0,2026-05-09
sz002422,002422.SZ,科伦药业,医药生物,深交所,71152759689.0,0.066,313861766.0,2026-05-09
sz000066,000066.SZ,中国长城,计算机,深交所,71152759689.0,0.066,15440406337.0,2026-05-09
sh600157,600157.SH,永泰能源,煤炭,上交所,71152759689.0,0.066,2939762033.0,2026-05-09
sz002966,002966.SZ,苏州银行,银行,深交所,70074687572.5,0.065,163654333.0,2026-05-09
sh600498,600498.SH,烽火通信,通信,上交所,70074687572.5,0.065,7638836414.0,2026-05-09
sz002080,002080.SZ,中材科技,建筑材料,深交所,68996615456.0,0.064,2485151592.0,2026-05-09
sh688037,688037.SH,芯源微,电子,上交所,68996615456.0,0.064,1603958373.0,2026-05-09
sh600219,600219.SH,南山铝业,有色金属,上交所,68996615456.0,0.064,1185890267.0,2026-05-09
sz002850,002850.SZ,科达利,电力设备,深交所,67918543339.5,0.063,1422833157.0,2026-05-09
