代码,展示代码,名称,行业,中信细分行业,市场,板块,最新成交额,中证全指权重,概念数量,来源
sz300494,300494.SZ,盛天网络,互联网,游戏,深交所,创业板,125594258.0,0.0,19,全A基础池扩展补充
sz002632,002632.SZ,道明光学,塑料,塑料薄膜,深交所,主板,180552096.0,0.0,17,全A基础池扩展补充
sz300349,300349.SZ,金卡智能,电器仪表,仪器仪表,深交所,创业板,216826317.0,0.0,16,全A基础池扩展补充
sz000417,000417.SZ,合百集团,百货,百货,深交所,主板,452999830.0,0.0,12,全A基础池扩展补充
sz300887,300887.SZ,谱尼测试,电器仪表,检测服务,深交所,创业板,103385085.0,0.0,23,全A基础池扩展补充
sz301531,301531.SZ,C春光集团,矿物制品,磁性材料,深交所,创业板,2844434372.0,0.0,2,全A基础池扩展补充
sh603158,603158.SH,腾龙股份,汽车配件,底盘与发动机系统,上交所,主板,446804188.0,0.0,12,全A基础池扩展补充
sz300420,300420.SZ,五洋自控,机械基件,其他专用设备,深交所,创业板,535980692.0,0.0,11,全A基础池扩展补充
sz301027,301027.SZ,华蓝集团,建筑工程,工程咨询服务,深交所,创业板,176573106.0,0.0,17,全A基础池扩展补充
sh600640,600640.SH,国脉文化,影视音像,视频音频媒体,上交所,主板,146861414.0,0.0,18,全A基础池扩展补充
sh605299,605299.SH,舒华体育,文教休闲,娱乐用品,上交所,主板,769077490.0,0.0,9,全A基础池扩展补充
sz300612,300612.SZ,宣亚国际,广告包装,互联网广告,深交所,创业板,101163245.0,0.0,24,全A基础池扩展补充
sz300801,300801.SZ,泰和科技,化工原料,其他化学制品,深交所,创业板,249366834.0,0.0,15,全A基础池扩展补充
sh603315,603315.SH,福鞍股份,环境保护,大气治理,上交所,主板,750164786.0,0.0,9,全A基础池扩展补充
sh688219,688219.SH,会通股份,塑料,改性塑料,上交所,科创板,98340346.0,0.0,21,全A基础池扩展补充
sz002038,002038.SZ,双鹭药业,生物制药,基因药物,深交所,主板,355915371.0,0.0,13,全A基础池扩展补充
sz002527,002527.SZ,新时达,电器仪表,工业控制设备,深交所,主板,140245438.0,0.0,18,全A基础池扩展补充
sz000701,000701.SZ,厦门信达,商贸代理,贸易,深交所,主板,96417707.0,0.0,21,全A基础池扩展补充
sh600868,600868.SH,梅雁吉祥,水力发电,水力发电,上交所,主板,497635003.0,0.0,11,全A基础池扩展补充
sz002093,002093.SZ,国脉科技,文教休闲,教育培训,深交所,主板,164052947.0,0.0,17,全A基础池扩展补充
sz002591,002591.SZ,恒大高新,环境保护,环保设备,深交所,主板,235100088.0,0.0,15,全A基础池扩展补充
sz000665,000665.SZ,湖北广电,影视音像,广播电视,深交所,主板,112249547.0,0.0,19,全A基础池扩展补充
sh600664,600664.SH,哈药股份,化学制药,化学制剂,上交所,主板,588536291.0,0.0,10,全A基础池扩展补充
sz002117,002117.SZ,东港股份,广告包装,印刷,深交所,主板,161555079.0,0.0,17,全A基础池扩展补充
sh603977,603977.SH,国泰集团,化工原料,民爆制品,上交所,主板,405175724.0,0.0,12,全A基础池扩展补充
sh600458,600458.SH,时代新材,塑料,风电零部件,上交所,主板,233041515.0,0.0,15,全A基础池扩展补充
sz300435,300435.SZ,中泰股份,供气供热,燃气,深交所,创业板,482632402.0,0.0,11,全A基础池扩展补充
sz002623,002623.SZ,亚玛顿,玻璃,光伏辅材,深交所,主板,575425106.0,0.0,10,全A基础池扩展补充
sz300712,300712.SZ,永福股份,建筑工程,其他专业工程,深交所,创业板,131609919.0,0.0,18,全A基础池扩展补充
