"代码","展示代码","名称","市场","行业","细分领域","名单分类","来源","入池理由","评分","所属池","阶段用途"
"sh688318","688318.SH","财富趋势","","科创板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sh688322","688322.SH","奥比中光","","科创板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sh688336","688336.SH","三生国健","","科创板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sh688347","688347.SH","华虹公司","","科创板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sh688349","688349.SH","三一重能","","科创板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sh688361","688361.SH","中科飞测","","科创板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sh688363","688363.SH","华熙生物","","科创板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sh688375","688375.SH","国博电子","","科创板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sh688385","688385.SH","复旦微电","","科创板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sh688387","688387.SH","信科移动","","科创板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sh688396","688396.SH","华润微","","科创板","","沪深300","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sh688425","688425.SH","铁建重工","","科创板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sh688469","688469.SH","芯联集成","","科创板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sh688472","688472.SH","阿特斯","","科创板","","沪深300","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sh688475","688475.SH","萤石网络","","科创板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sh688498","688498.SH","源杰科技","","半导体","光通信芯片(IDM)","半导体","""user_enhance""；""strategic""","用户增强观察池重点关注；未纳入L8指数基底池；半导体；光通信芯片(IDM)","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sh688506","688506.SH","百利天恒","","科创板","","沪深300","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sh688520","688520.SH","神州细胞","","科创板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sh688521","688521.SH","芯原股份","","半导体","芯片设计服务、IP授权","AI算力","""user_enhance""；""strategic""","用户增强观察池重点关注；未纳入L8指数基底池；AI算力；芯片设计服务、IP授权","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sh688525","688525.SH","佰维存储","","半导体","存储芯片","半导体","""user_enhance""；""index_base""","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sh688538","688538.SH","和辉光电","","科创板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sh688561","688561.SH","奇安信","","科创板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sh688563","688563.SH","航材股份","","科创板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sh688568","688568.SH","中科星图","","科创板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sh688578","688578.SH","艾力斯","","科创板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sh688582","688582.SH","芯动联科","","科创板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sh688599","688599.SH","天合光能","","新能源","光伏组件","新能源","""user_enhance""；""index_base""","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sh688608","688608.SH","恒玄科技","","科创板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sh688615","688615.SH","合合信息","","科创板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sh688617","688617.SH","惠泰医疗","","科创板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sh688629","688629.SH","华丰科技","","科创板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sh688676","688676.SH","金盘科技","","科创板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sh688692","688692.SH","达梦数据","","科创板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sh688702","688702.SH","盛科通信","","科创板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sh688709","688709.SH","成都华微","","科创板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sh688728","688728.SH","格科微","","科创板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sh688772","688772.SH","珠海冠宇","","科创板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
